ExchangeId,Effectivedate,Symbol,Open,High,Low,Close,Volume
NSE,24-08-2018,RELIANCE,1265.25,1279.95,1260.05,1277.5,6652005
NSE,27-08-2018,RELIANCE,1279.4,1295.85,1278.75,1291.5,5572177
NSE,28-08-2018,RELIANCE,1296,1323,1295,1319,8694751
NSE,29-08-2018,RELIANCE,1316.3,1329,1290.2,1294.2,11077203
NSE,30-08-2018,RELIANCE,1293.6,1297.15,1270.45,1274.45,9850042
NSE,31-08-2018,RELIANCE,1270,1270,1236.6,1241.65,15305857
NSE,03-09-2018,RELIANCE,1245,1257.9,1226.05,1229.15,12200022
NSE,04-09-2018,RELIANCE,1235.15,1254.8,1229,1241.95,8838770
NSE,05-09-2018,RELIANCE,1242.5,1252.65,1208.5,1227,10324923
NSE,06-09-2018,RELIANCE,1230.15,1265.7,1225.35,1261.4,11195043
NSE,07-09-2018,RELIANCE,1264.9,1281.35,1254.5,1278.6,10692787
NSE,10-09-2018,RELIANCE,1275,1277,1250.1,1255.85,7059008
NSE,11-09-2018,RELIANCE,1259,1268.4,1234.25,1237.7,10874768
NSE,12-09-2018,RELIANCE,1251.8,1258.7,1228.85,1252.5,8065553
NSE,14-09-2018,RELIANCE,1259.4,1275.6,1247.65,1253.15,7878583
NSE,17-09-2018,RELIANCE,1250.75,1250.75,1221.6,1225.9,6754086
NSE,18-09-2018,RELIANCE,1226,1239.4,1214.35,1217.15,7616412
NSE,19-09-2018,RELIANCE,1224,1224,1201,1210.75,11265786
NSE,21-09-2018,RELIANCE,1219,1237.4,1183.5,1217.5,19070172
NSE,24-09-2018,RELIANCE,1214.45,1239.9,1204.5,1232.05,10102589
NSE,25-09-2018,RELIANCE,1235.5,1245,1195,1230.6,9715020
NSE,26-09-2018,RELIANCE,1239,1253.95,1227.15,1251.4,6396828
NSE,27-09-2018,RELIANCE,1255,1263,1237.5,1253.75,10808749
NSE,28-09-2018,RELIANCE,1259.9,1271.7,1247.3,1257.95,11073023
NSE,01-10-2018,RELIANCE,1257.7,1257.7,1204,1231.7,7332693
NSE,03-10-2018,RELIANCE,1229.5,1239.6,1200.05,1205.1,7376575
NSE,04-10-2018,RELIANCE,1189.5,1190.4,1106,1122.25,23212443
NSE,05-10-2018,RELIANCE,1099.5,1115.3,1038.15,1048.85,21943190
NSE,08-10-2018,RELIANCE,1050,1117,1025.55,1109.4,24679428
NSE,09-10-2018,RELIANCE,1121.65,1123.3,1081.2,1090.05,10991196
NSE,10-10-2018,RELIANCE,1093.9,1115.85,1084.3,1102.1,9502176
NSE,11-10-2018,RELIANCE,1064,1114.75,1043,1087.8,13224172
NSE,12-10-2018,RELIANCE,1104.95,1129,1101.9,1126.55,9058536
NSE,15-10-2018,RELIANCE,1129.9,1146.9,1118.15,1139.75,8871776
NSE,16-10-2018,RELIANCE,1146,1167.4,1140,1163.8,7478601
NSE,17-10-2018,RELIANCE,1179,1179.35,1140,1151.3,12785646
NSE,19-10-2018,RELIANCE,1100,1111,1070.25,1101.3,25421229
NSE,22-10-2018,RELIANCE,1110,1114.8,1057.35,1062.65,13165542
NSE,23-10-2018,RELIANCE,1052.75,1064.7,1043.65,1054.7,10573730
NSE,24-10-2018,RELIANCE,1074.9,1075.95,1031.4,1045.75,13655337
NSE,25-10-2018,RELIANCE,1036,1040.65,1016.4,1030.8,14096237
